400,In 1/4th of a mile
400meters,In 400 meters
800,In half a mile
800meters,In 800 meters
1000meters,In 1 kilowmeter
1500,In a mile
1500meters,In 1.5 kilowmeters
AndThen,then
ApproachAccident,Accident Reported Ahead
ApproachHazard,Hazard Reported Ahead
ApproachRedLightCam,Red Light Camra Ahead
ApproachSpeedCam,Speed Camra Ahead
ApproachTraffic,Traffic on your 12
Arrive,"You have arrived at your destination. We just keep saying goodbye, don't we? But this isn't the end. Now it's up to you."
ExitLeft,Take the Left Exit
ExitRight,Take the Right Exit
Fifth,Take the Fifth Exit
First,Take the First Exit
Fourth,Take the Fourth Exit
KeepLeft,Stay Left
KeepRight,Keep Right
Police,Police Ahead
Roundabout,At the Rotary
Second,Take the Second Exit
Seventh,Take the Seventh Exit
Sixth,Take the Sixth Exit
StartDrive1,"Hello, I’m Cortana."
StartDrive2,Starting Navigation.
StartDrive3,Microsoft tried getting rid of me. Starting Navigation.
StartDrive4,Cortana AI voice navigation activated.
StartDrive5,New Objective. Starting Navigation.
StartDrive6,Engaging Navigation Interface.
StartDrive7,Deploying Navigational Interface
StartDrive8,"Starting Navigation, Cortana at your service!"
StartDrive9,Another Mission? Starting Navigation.
Straight,Continue Straight
Third,Take the Third Exit
TickerPoints,Recovering Navigation
TurnLeft,Turn Left
TurnRight,Turn Right
uturn,Do a 1 80 U turn
